پروبلئم,پروبلئملر,استفادهچی,استفادهچیلر,استفادهچیلر
اوردو,اوردولار,حکایه,حکایهلر,حکایهلر
اؤیرتمک,تدریس,سوروش,سوروشماق,سوروشماق
احالی,احالی,کۆچه,کۆچهلر,کۆچهلر
اۆزۆ,اۆزۆلهری,آوتوموبیل,آوتوموبیللر,آوتوموبیللر
سیستئمی,سیستئملری,دؤؤر,دؤؤرلر,دؤؤرلر
وئبسایت,اینتئرنئت سایتلاری,کۆچه,کۆچهلر,کۆچهلر
یادداش,خاطرهلر,اونیوئرسیت,اونیوئرسیتئلر,اونیوئرسیتئلر
اۆزۆ,اۆزۆلهری,دؤؤر,دؤؤرلر,دؤؤرلر
آوتوموبیل,آوتوموبیللر,دؤؤر,دؤؤرلر,دؤؤرلر
تئخنولوگیا,تئخنولوگیالار,جمیت,جمیتلر,جمیتلر
اولور,اولدو,اینانیر,اینانیردی,اینانیردی
تاریخ,تاریخلر,اونیوئرسیت,اونیوئرسیتئلر,اونیوئرسیتئلر
قادێن,قادێنلار,حکایه,حکایهلر,حکایهلر
ائلم,ائلملر,ساهه,ساهلر,ساهلر
حادسه,حادسلر,مۆشتری,مۆشترلر,مۆشترلر
ایل,ایللر,مۆشتری,مۆشترلر,مۆشترلر
حۆکومت,حکومتلر,استفادهچی,استفادهچیلر,استفادهچیلر
قانون,قانونلار,ائلم,ائلملر,ائلملر
یول,یوللار,دؤؤر,دؤؤرلر,دؤؤرلر
اویونچو,اویونچولار,استفادهچی,استفادهچیلر,استفادهچیلر
ایل,ایللر,رئسورس,رئسورسلار,رئسورسلار
ماهنێ,ماهنێلار,ائلم,ائلملر,ائلملر
اوتورماق,اوتورور,ابارت,ابارتدیر,ابارتدیر
سوروشور,سوروشدو,گؤرونور,گؤرونوردو,گؤرونوردو
گؤزلهنیلیر,گؤزلهنیلمز,قانونی,قانونسوز,قانونسوز
ادعا ائدیر,ادعا,استاندارتلاشدێرماق,استاندارتلاشدێرما,استاندارتلاشدێرما
حسابلاماق,حسابلاما,استفاده ائتمک,استفاده,استفاده
داوام ائت,داوامێ,ایشیقلاندیرماق,ایشیقلاندیرما,ایشیقلاندیرما
برپا ائدین,برپا,ایشیقلاندیرماق,ایشیقلاندیرما,ایشیقلاندیرما
تشکیل ائتمک,تشکیلات,مۆشاهده ائتمک,مۆشاهده,مۆشاهده
یئرینه یئتیرمک,یئرینه یئتیریلمهسی,اعتراف ائتمک,اعتراف,اعتراف
اوتاندێرماق,خجالت,ائلان ائت,ائلان,ائلان
ایناندیریجی,اینانیلماز,قانونی,قانونسوز,قانونسوز
مۆعین ائتمک,قطیت,مۆشاهده ائتمک,مۆشاهده,مۆشاهده
راحات,ناراهات,قانونی,قانونسوز,قانونسوز
داواملێ,دایانیقسیز,قانونی,قانونسوز,قانونسوز
تؤؤسیه ائدین,تؤؤسیه ائدن,آبونه اولون,آبونهچی,آبونهچی
سۆمۆک,سۆمۆکسۆز,اونورغا,اونورغاسێز,اونورغاسێز
عادی,غیری - عادی,آرزو اولونان,آرزواولونماز,آرزواولونماز
درج ائت,ناشر,آبونه اولون,آبونهچی,آبونهچی
راحات,ناراهات,الاقهلی,الاقهسیز,الاقهسیز
عادی,غیری - عادی,استفاده اولونور,استفادهسیز,استفادهسیز
ایستی,ایستیلیک,اوجوز,اوجوزلوق,اوجوزلوق
اوجوز,اوجوزلوق,قریبه,قریبهلیک,قریبهلیک
دئیین,دانێشان,استحلاک ائتمک,استحلاکچی,استحلاکچی
ازیت چکمک,ازیت چکن,مۆشاهده ائتمک,مۆشاهدهچی,مۆشاهدهچی
مۆعین,غیری - مۆعین,قانونی,قانونسوز,قانونسوز
آغلاباتان,اساسسێز,آرزو اولونان,آرزواولونماز,آرزواولونماز
عادی,غیری - عادی,ائتیبارلی,ائتیبارسیز,ائتیبارسیز
چئستئر,جهسهره,سالفورد,مانچئستئر,مانچئستئر
اؤکۆز,اینک,شاعر,شاعره,شاعره
آتا,آنا,شاعر,شاعره,شاعره
جئنتلمئن,خانێم,کرال,کرالیچا,کرالیچا
قارداشێ اوغلو,قارداشقێزێ,کرال,کرالیچا,کرالیچا
اؤگئی آتا,اؤگئی آنا,شاعر,شاعره,شاعره
آرگئنتینا,ایسپان,مولدووا,مولدووالێ,مولدووالێ
باربادوس,اینگیلیس,دانیمارکا,دانیمارکالی,دانیمارکالی
کوبا,ایسپان,قازاخستان,قازاخ,قازاخ
قواتئمالا,ایسپان,دانیمارکا,دانیمارکالی,دانیمارکالی
ایران,فارس,دانیمارکا,دانیمارکالی,دانیمارکالی
بابا,نعنه,کرال,کرالیچا,کرالیچا
کۆرهکن,گلین,کرال,کرالیچا,کرالیچا
برازلیا,پورتوقال,دانیمارکا,دانیمارکالی,دانیمارکالی
مراکئش,بئربئر,نوروئچ,نوروئچلی,نوروئچلی
قارداش,باجێ,کرال,کرالیچا,کرالیچا
برازلیا,پورتوقال,هوللاندیا,هوللاند,هوللاند
چیلی,ایسپان,قازاخستان,قازاخ,قازاخ
میصیر,عرب,نوروئچ,نوروئچلی,نوروئچلی
آللاه,الاحه,شاعر,شاعره,شاعره
ار,آرواد,کرال,کرالیچا,کرالیچا
امی,خالا,شاعر,شاعره,شاعره
قاهره,میصیر,تایپئی,تایوان,تایوان
خوروز,تویوق,کرال,کرالیچا,کرالیچا
ایران,فارس,هوللاندیا,هوللاند,هوللاند
گؤزل,چیرکین,نورمال,آنورمال,آنورمال
اوجوز,باهالێ,نورمال,آنورمال,آنورمال
یاخین,اوزاق,نورمال,آنورمال,آنورمال
بیرینجی,سونونجو,جنوب,شیمال,شیمال
داخل اولان,گئدن,جنوب,شیمال,شیمال
فینجان,قاب - قاجاق,دیش فێرچاسێ,فێرچا,فێرچا
تمیز,چیرکلی,تهلۆکهلی,تهلۆکهسیز,تهلۆکهسیز
کیتاب,کیتابخانا,سئناتور,سئنات,سئنات
گۆن,ساعات,قرام,میللێقرام,میللێقرام
دینامیک,استاتیک,جنوب,شیمال,شیمال
موسیقایچی,اورکئستر,سئناتور,سئنات,سئنات
شیرین,تورش,ماراقلێ,ماراقسێز,ماراقسێز
آشاغێدا,یوخاریدا,جنوب,شیمال,شیمال
دینامیک,استاتیک,ائنمک,قالخماق,قالخماق
چێخێش,گیریش,ائنمک,قالخماق,قالخماق
یوخاری,آشاغێ,قرب,شرق,شرق
سؤز,پاراقراف,سئناتور,سئنات,سئنات
بئنزین,یاناجاق,جنس شالوار,شالوار,شالوار
خمیر,یئمک,جنس شالوار,شالوار,شالوار
یوخاری,آشاغێ,آشاغێدا,یوخاریدا,یوخاریدا
گنج,کؤهنه,ماراقلێ,ماراقسێز,ماراقسێز
اوزون,قێسا,باجارێر,باجارماز,باجارماز
بئتون,سیلیکون,بوزلاق,بوز,بوز
آسلان,پیشیک,جینگیلتیلی ایلان,ایلان,ایلان
دینامیک,استاتیک,دۆشمک,یۆکسلمک,یۆکسلمک