Inflectional morphology,پروبلئم,پروبلئملر,استفادهچی,استفادهچیلر
Inflectional morphology,قادێن,قادێنلار,حکایه,حکایهلر
Inflectional morphology,سوروشور,سوروشدو,گؤرونور,گؤرونوردو
Inflectional morphology,اوتورماق,اوتورور,ابارت,ابارتدیر
Inflectional morphology,اؤیرتمک,تدریس,سوروش,سوروشماق
Derivational morphology,حسابلاماق,حسابلاما,استفاده ائتمک,استفاده
Derivational morphology,تشکیل ائتمک,تشکیلات,مۆشاهده ائتمک,مۆشاهده
Derivational morphology,راحات,ناراهات,قانونی,قانونسوز
Derivational morphology,تؤؤسیه ائدین,تؤؤسیه ائدن,آبونه اولون,آبونهچی
Derivational morphology,ایستی,ایستیلیک,اوجوز,اوجوزلوق
Encyclopedic semantics,قارداشێ اوغلو,قارداشقێزێ,کرال,کرالیچا
Encyclopedic semantics,امی,خالا,شاعر,شاعره
Encyclopedic semantics,ایران,فارس,دانیمارکا,دانیمارکالی
Encyclopedic semantics,میصیر,عرب,نوروئچ,نوروئچلی
Encyclopedic semantics,قاهره,میصیر,تایپئی,تایوان
Lexicographic semantics,یاخین,اوزاق,نورمال,آنورمال
Lexicographic semantics,بیرینجی,سونونجو,جنوب,شیمال
Lexicographic semantics,فینجان,قاب - قاجاق,دیش فێرچاسێ,فێرچا
Lexicographic semantics,گۆن,ساعات,قرام,میللێقرام
Lexicographic semantics,کیتاب,کیتابخانا,سئناتور,سئنات