azb,fa
نهایت ، آللاه اونلارا هم دۆنیا نئ متلرینی ، هم ده ان گؤزل عاخرت نئ متینی وئردی . آللاه یاخشی ایش گؤرنلری سئور !,پس خداوند ، پاداش این دنیا ، و پاداش نیک آخرت را به آنان عطا کرد ، و خداوند نیکوکاران را دوست دارد .
سونرا جاماآتێن دؤندوگو یئردن سیز ده دؤنون ! آللاهدان باغێشلانماق دیلهگین ، شبههسیز کی ، آللاه باغیشلایاندیر ، رحم ائدندیر !,پس ، از همان جا که انبوه‌ مردم روانه می‌شوند ، شما نیز روانه شوید و از خداوند آمرزش خواهید که خدا آمرزنده مهربان است .
محض اوندا معؤ مینلر امتهاهانا چکیلمیش وه مۆحکم سارسێلمێشدێلار .,آنجا بود که‌ مؤمنان در آزمایش قرار گرفتند و سخت تکان خوردند .
اونلار چوخلارێنێ یولدان چێخارتدێلار . سن ده آنجاق اونلارێن ذلالهتینی آرتێر !,و بسیاری را گمراه کرده‌اند . بار خدایا ، جز بر گمراهی ستمکاران میفزای .
مگر سیز ائله بورادا اونلارێن ایچینده آرخایینلێقلا قالاجاقسێنێز ؟,آیا شما را در آنچه اینجا دارید آسوده رها می‌کنند ؟
خرجلهدیگینیز وه نظیر ائتدیگینیز هر هانسێ شئیی ، شبههسیز کی ، آللاه بیلیر ، لاکین ظۆلم ائدنلرین هئچ بیر کؤمکچیسی اولماز !,و هر نفقه‌ای را که انفاق ، یا هر نذری را که عهد کرده‌اید ، قطعا خداوند آن را می‌داند ، و برای ستمکاران هیچ یاوری نیست .
سن وه قارداشێن معؤ جۆزهلریمله گئدین وه منی زیکر ائتمکده زیفلیک گؤسترمهیین,تو و برادرت معجزه‌های مرا برای مردم‌ ببرید و در یادکردن من سستی مکنید .
ایمان گتیریب یاخشی ایشلر گؤرنلری نعیم جنتلری گؤزلهییر .,در حقیقت ، کسانی که ایمان آورده و کارهای شایسته کرده‌اند ، باغهای پر نعمت خواهند داشت ،
من سیزه ربیمین امرلرینی تبلیغ ائدیرم . من سیزه دوغرو مصلحت وئرهنم .,پیامهای پروردگارم را به شما می‌رسانم و برای شما خیر خواهی امینم .
سنین آد سانێنێ اوجالتمادێقمی,و نامت را برای تو بلند گردانیدیم .
دئ : داش اولون ، یاخود دمیر !,بگو : سنگ باشید یا آهن ،
شبههسیز کی ، سنین ربین اونلارێن اۆرکلرینین گیزلی ساخلادێغێ وه اؤزلرینین آشکار ائتدیکلری هر شئیی بیلیر .,و در حقیقت ، پروردگار تو آنچه را در سینه‌هایشان نهفته و آنچه را آشکار می‌دارند نیک می‌داند .
آللاهدان باشقا هئچ بیر تانرێ یوخدور . بونا گؤره ده معؤ مینلر آنجاق آللاها تۆکۆل ائتسینلر !,خدا ست که‌ جز او معبودی نیست ، و مؤمنان باید تنها بر خدا اعتماد کنند .
نه سرین ، نه ده خوشاگلندیر .,نه خنک و نه خوش .
اونلار بیزیم کیتاب ، هؤکم وه پیغمبرلیک وئردیگیمیز کیمسهلردیر . اگر بونلار بو دلیللری دانسالار ، بیز اونلارا همین دلیللری اینکار ائتمهین بیر تایفانی مۆۆکل ائدهریک .,آنان کسانی بودند که کتاب و داوری و نبوت بدیشان دادیم ؛ و اگر اینان مشرکان‌ بدان کفر ورزند ، بی‌گمان ، گروهی دیگر را بر آن گماریم که بدان کافر نباشند .
آللاه مریم اوغلو مصیحدر ، دئینلر ، شبههسیز کی ، کافر اولدولار . دئ : اگر آللاه مریم اوغلو مصیحی ، آناسێنێ وه یئر اۆزۆنده اولانلارێن هامیسینی محو ائتمک ایستهسه ، کیم اونا بیر شئیله مانع اولا بیلر ؟ گؤیلرین ، یئرلرین وه اونلارێن آراسێندا اولان هر بیر شئین اختیاری آللاهێن الیندهدیر . او ، ایستهدیگینی یارادار ، آللاه هر شئیه قادردیر !,کسانی که گفتند : خدا همان مسیح پسر مریم است مسلما کافر شده‌اند . بگو : اگر خدا اراده کند که مسیح پسر مریم و مادرش و هر که را که در زمین است ، جملگی به هلاکت رساند ، چه کسی در مقابل خدا اختیاری دارد ؟ فرمانروایی آسمانها و زمین و آنچه میان آن دو است از آن خداست . هر چه بخواهد می‌آفریند ، و خدا بر هر چیزی تواناست .
یئر اۆزۆنده نه وارسا ، هامیسینی سیزین اۆچۆن یارادان ، سونرا سمایا اۆز توتاراق اونو یئددی قات گؤی هالێندا دۆزلدیب نظاما سالان اودور ! او ، هر شئیی بیلندیر !,اوست آن کسی که آنچه در زمین است ، همه را برای شما آفرید ؛ سپس به آفرینش‌ آسمان پرداخت ، و هفت آسمان را استوار کرد ؛ و او به هر چیزی داناست .
او آللاه کی ، سنی نامازا دوراندا دا گؤرۆر ،,آن کس که چون به نماز برمی‌خیزی تو را می‌بیند ،
آللاهێن تیکیلیب اوجالدیلماسینا وه اؤز آدێنێن زیکر ائدیلمهسینه ایزین وئردیگی او ائولردیر کی ، اورادا سهر آخشام اونو تقدیس ائدیب شعه نینه تعه رفلر دئیرلر .,در خانه‌هایی که خدا رخصت داده که قدر و منزلت‌ آنها رفعت یابد و نامش در آنها یاد شود . در آن خانه‌ ها هر بامداد و شامگاه او را نیایش می‌کنند :
یاخشی امللر ائدنلره بیر هدایت وه رحمتدر .,که‌ برای نیکوکاران رهنمود و رحمتی است ،
گئجه ، یاری اولوبدور .,نیمی‌ از شب‌ گذشته‌ .
و داوود ، حوضون قیراغیندا اوتوراراق ، الینی سالیر سویا کی بلکه گؤرمه دی یی قیرمیزی بالیق لاردان توتا .,و داوود ، كنار حوض ، دست میكند توی پاشویه ، دنبال ماهی های سرخی كه نمیبیند .
افشین ده اوجاغا یاخین بیر یئرده دوروب منیم باخیشمین دوزونو ایزله رکن ، گؤزونو تیكیر قونشو ائوینه .,افشین نزدیک همین اجاق در راستای نگاهم به خانه همسایه‌ها نگاه می‌كند .
گئدیب امام جمعه نی باشی اوستونه گتیره ر کن حاجی بوتون آقالارین حضوروندا ، سیزی اؤزونه وصی تعیین ائتدی .,رفتند امام جمعه را سر بالینش آوردند و حاجی در حضور همة آقایان شما را وكیل و وصی خودش معرفی كرد ،
اوزاقدان گوردوم تارانی الی له ازدیره رک اونا بیر سؤزلر دئییر .,از چند متری‌ می‌دیدمش‌ ، داشت‌ دست‌ می‌کشید روی‌ بازوی‌ تارا و چیزی‌ می‌گفت‌ .
آخی آلزایمر توتوب دی .,آخه آلزایمر گرفته .
بئله سینه ائله گؤزلری گزیری کی اورا لار دا بیر قیز گؤره .,چشم‌ های‌شان‌ سرگردان‌ است‌ تا دختری‌ را ببینند .
پتی نی وئردی قیراغا کی اوز گؤزونو توتمایا .,پتو را از روی صورتش‌ كنار زد .
چوخ یاخچی .,خوب‌
يئنی لیک ده ائشیت میشیک,تازگي شنيده‌ايم
باشلاییر لار پیچیلتی یا .,پچ‌ پچه‌ می‌پیچد بین‌ زن‌ هایی‌ که‌ بیرون‌ آمده‌اند .
من ده ائله باخیردیم آینا یا . بیر اؤزومه بیر اونا بیر ده دؤورمه باخیردیم,من‌ هم‌ از تو آینه‌ به‌اش‌ نگاه‌ می‌کردم‌ و بعد به‌ خودم‌ و به‌ بقیه‌ زن‌ها .
و اؤزونی مشغول ائتمک ایچون بیر طوطی آلمیشدی .,و برای سرگرمی ‌خودش یك طوطی خریده بود .
داها او زامانلار کیمی ال قولونو ایتیر میر سن .,حالا دیگر مثل آن وقتها دستپاچه نمیشوی .
یار یولداشلارا چوخ قاریشماییردی,دیگر با دوستانش جوششی نداشت
صبح دن آخشاما قدر قاچا قوشلوقدا و حاجینین ملک املاکینا باش چکمکده ایدی .,و از صبح تا شام مشغول دوندگی و سركشی به علاقه و املاك حاجی بود .
دوشه یی سالیردی تختین اوستونه کی یئنه اوچ یول قاپی نین زنگی چالیندی .,دشک را که روی‌ تخت‌ انداخت‌ باز زنگ‌ به‌ صدا درآمد ؛ سه‌ بار پشت‌سرهم‌ .
پریسا دئدی : اریم دن برک نیگرانام .,پریسا گفت‌ : من‌ نگران‌ شوهرمم‌ !
به نه اولدی ؟,پس‌ چی‌ شد ؟
سانکی هامیسی بیر چیلتیكین بندی دیلر کی توز کیمی یئره تؤکوله لر .,كافي‌ست تلنگري بزنيم به‌شان ، تا يك‌باره پودر شوند و بريزند روي زمين .
ایندی اکینچی بارهده مسهلین ایزاهینی دینلهگین :,پس شما مفهوم مثل برزگر را بشنوید .
سونرا ایسا یۆزباشییا دئدی : گئت ، قوی سنین ایمانینا گؤره اولسون . خدمتچیسی ده او ساعات ساغالدێ .,سپس عیسی به آن افسر گفت : برو . مطابق ایمانت به تو داده شود . همان دم خدمتکار او شفا یافت .
چێراق ایشیغی آرتێق سنده گؤرونمهیهجک . بگ گلین سداسێ آرتێق سندن گلمهیهجک . چۆنکی سنین تاجیرلرین یئر اۆزۆنۆن بؤیوک آداملارێ ایدی ، بۆتۆن ملتلر سنین سهربازلێغێنلا آلدانمێشدێ .,دیگر نور هیچ چراغی در تو نخواهد تابید ، دیگر صدای هیچ عروس و دامادی در تو شنیده نخواهد شد ؛ زیرا بازرگانان تو مردان عالی‌رتبهٔ زمین بودند و تو تمام قوم‌ها را با توسل به نیروهای غیبی گمراه کردی .
بارنابا وه شاعل یئروسلیمدکی اؤز خدمتلرینی یئرینه یئتیرندن سونرا مارک آدلانان یهیانی اؤزلری ایله گؤتوروب گئری قایێتدی .,پس از این که برنابا و سولس مأموریت کمک‌رسانی را در اورشلیم به پایان رساندند ، به انطاکیه بازگشتند و یوحنا را که مرقس نیز خوانده می‌شد ، همراه خود بردند .
آمما ایمانلا گلن سالئهلیک بارهده بئله دئییلیر : اۆرهیینده دئمه کی ، کیم گؤیلره ، ینی مصیحی ائندیرمهیه چێخاجاق ؟,اما در مورد آن درستکاری که از طریق ایمان حاصل می‌شود ، آمده است : در دل خود مگو چه کسی به آسمان بالا خواهد رفت ؟ یعنی بالا خواهد رفت تا مسیح را پایین آورد .
ایسا قاییداندا گؤردو کی ، اونلار یئنه یاتیب . چۆنکی اونلارێن گؤزلری یومولوردو .,عیسی بار دیگر آمد و دید که شاگردان به خواب رفته بودند ، چون چشمانشان سنگین شده بود .
بۆهتانچێ ، آللاها نفرت ائدن ، سؤیوشچو ، مغرور ، تکبۆرلۆ ، پیس ایشلرده باجارێقلێ ، آتا آنایا ایتاعتسیز ،,بدگو ، متنفر از خدا ، گستاخ ، متکبر و خودستا هستند . برای صدمه زدن به دیگران توطئه می‌چینند و از والدین خود نافرمانی می‌کنند .
بو مۆژده اونو ائشیتدیگینیز ، حقیقتده آللاهێن لۆتفۆنۆ درک ائتدیگینیز گۆندن بریع سیزده اولدوغو کیمی بۆتۆن دۆنیادا دا بهره وئرمکده وه یاییلماقدادیر .,بشارتی که به شما رسیده است . همان طور که پیام بشارت در سراسر دنیا ثمر به بار می‌آورد و پخش می‌شود ، در میان شما نیز ، از روزی که آن را شنیدید ، چنین می‌کند ؛ یعنی از همان روزی که لطف خدا را به معنای واقعی و دقیقا درک کردید .
منسه سیزه دئییرم کی ، قادێنا شهوتله باخان هر آدام آرتێق اۆرهیینده اونونلا زینا ائتمیش اولور .,اما من به شما می‌گویم هر که به گونه‌ای به زنی چشم بدوزد که شهوت در دلش برانگیخته شود ، همان دم در دل خود با او زنا کرده است .
بئلهجه بو کیچیکلردن بیرینین بئله ، هلاک اولماسێ گؤیلرده اولان آتانێزێن ارادهسی دئییل .,پدر من که در آسمان است نیز نمی‌خواهد حتی یکی از این کوچکان از دست برود .
سونرا پئتئرله یهیا اللهرینی اونلارێن اۆستۆنه قویدو وه اونلار مۆقدس روحو آلدێلار .,پطرس و یوحنا دست بر آنان گذاشتند و روح‌القدس به ایشان عطا شد .
آغاسێ حاقسێزلێق ائدن ادارهچینی فراستلی هرهکت ائتدیگینه گؤره تریفلهدی . چۆنکی بو دؤورون اؤؤلادلارێ اؤز نسیللری ایله مۆناسبتلرینده نور اؤؤلادلاریندان داها فراستلیدیر .,با وجود بی‌انصافی مباشر ، ارباب او را تحسین کرد ؛ زیرا زیرکانه عمل کرده بود . در واقع ، فرزندان این نظام حاضر با مردم نسل خود زیرکانه‌تر از فرزندان نور عمل می‌کنند .
یول کنارێندا اوتوران ایکی کور آدام ایسنانین اورادان کئچدیگینی ائشیتدیکده یا رب ، ائی داوود اوغلو ! بیزه رحم ائله ! دئیه باغێردێ .,دو مرد نابینا که کنار راه نشسته بودند ، وقتی شنیدند عیسی از آنجا عبور می‌کند ، فریاد زدند : ای سرور ، ای پسر داوود ، بر ما رحم کن !
ایندی اونا بؤیومک ، منه کیچیلمک گرکدیر .,او باید روزبه‌روز بزرگ‌تر شود و من کوچک‌تر .
داغلارا وه قایالارا دئدیلر : اۆستۆمۆزه قوپوب دۆشۆن وه بیزی تاختدا اوتورانێن اۆزۆندن ، قوزونون قزهبیندن گیزلهدین .,آنان به کوه‌ها و صخره‌ها همواره می‌گویند : بر ما بیفتید و ما را از چشمان آن تخت‌نشین و از خشم بره پنهان کنید ؛
ایسا وه شاگردلر گؤلو کئچیب گینئسار ساهلینه چاتدێلار .,سپس از دریا گذشتند و به ساحل جنیسارت رسیدند .
آتانێن منه وئردیگی شخصلرین هامێسێ یانیما گلهجک وه یانیما گلهنی هئچ واخت کنارا آتمارام .,همهٔ کسانی که پدر به من بدهد ، نزد من خواهند آمد و آن که نزد من آید ، او را هرگز از خود دور نخواهم ساخت ؛
ایممانی ظعیف اولانێ قبول ائدین ، آمما اونون فکرلری ایله مۆباحصهیه گیریشمهیین .,شخصی را که ایمانی ضعیف دارد ، بپذیرید ، اما از دیدگاه‌های متفاوت ایراد مگیرید .
چۆنکی سالئه اولان مصیح ده سالئه اولمایانلار اوغروندا ، اونلارێن گۆناهلارێ اۆچۆن بیر دفه اعذاب چکدی کی ، سیزی آللاهێن هۆزورونا گتیرسین . او جسما ائدام ائدیلمیش ، آمما روحن هیاتا قوووشموشدور .,مسیح نیز یک بار برای همیشه مرد ، آری ، انسانی درستکار جان خود را برای بدکاران داد تا گناهان را از میان بردارد و شما را به سوی خدا هدایت کند . او در جسم کشته شد ، اما در روح زنده گشت
جینلر ایسهآیا یالواردیلار : بیزی قوواجاقسانسا ، بو دونوز سۆرۆسۆنه گؤندر .,دیوها از عیسی چنین استدعا کردند : اگر ما را بیرون می‌رانی ، ما را در آن گلهٔ خوک بفرست .
